,filter_size,hidden_dims,num_filters,pool_size,means,stddev
0,3,10,10,2,0.5193401587407246,0.00858097714656519
1,3,10,10,5,0.5369106312155829,0.013002954378333707
2,3,10,10,10,0.54120844622551,0.01407949290305746
3,3,10,10,20,0.533181646276765,0.012687785968479451
4,3,10,10,50,0.5329288339557606,0.018729348279738368
5,3,10,20,2,0.5141575037566619,0.01155598692448223
6,3,10,20,5,0.531538364408351,0.013901943634523625
7,3,10,20,10,0.5500568844073793,0.010023746547053413
8,3,10,20,20,0.5417772727516836,0.013616311909919247
9,3,10,20,50,0.5432941494409511,0.009877570354801007
10,3,10,50,2,0.514094299506695,0.011691784745341369
11,3,10,50,5,0.5390595376883336,0.009824480778466397
12,3,10,50,10,0.5496776657714176,0.008636797027573436
13,3,10,50,20,0.5506257123914595,0.008180963034152278
14,3,10,50,50,0.5427885234973747,0.01841421231706218
15,3,10,100,2,0.5115661730191874,0.010741414659916465
16,3,10,100,5,0.531601568247693,0.011710721883824897
17,3,10,100,10,0.5369738347121097,0.010904535789478654
18,3,10,100,20,0.5438629763080565,0.014306524569457671
19,3,10,100,50,0.5564404010750101,0.01446934795323628
20,3,10,200,2,0.5082796107176628,0.01511307867604967
21,3,10,200,5,0.526355706806084,0.010703237024411984
22,3,10,200,10,0.5344457097427837,0.011150572910108274
23,3,10,200,20,0.5383643052804306,0.01708361300947934
24,3,10,200,50,0.5566932128648393,0.019770246339129386
25,3,50,10,2,0.5180760954743676,0.009447825460619242
26,3,50,10,5,0.5357729753340682,0.014091646907412363
27,3,50,10,10,0.5405764126051332,0.010775077447361727
28,3,50,10,20,0.5415244597375144,0.016479835995979346
29,3,50,10,50,0.5450638358254843,0.0218114658074442
30,3,50,20,2,0.5123246126493782,0.01495984450098426
31,3,50,20,5,0.5302743011985019,0.01283526787545248
32,3,50,20,10,0.5347617256431931,0.0123531638373583
33,3,50,20,20,0.5505625091586368,0.010810303989532442
34,3,50,20,50,0.5511945403303333,0.010270640061893044
35,3,50,50,2,0.5136518771971482,0.013895004022371472
36,3,50,50,5,0.5332448499955565,0.008904057476477602
37,3,50,50,10,0.5294526608934175,0.013312012600664513
38,3,50,50,20,0.5406396153557543,0.008290541757776751
39,3,50,50,50,0.5476551651502587,0.014974540131923477
40,3,50,100,2,0.5106813298806034,0.011147157758148094
41,3,50,100,5,0.5207306275384613,0.010312283745239998
42,3,50,100,10,0.5259764889687688,0.011459471541808096
43,3,50,100,20,0.536468210974229,0.010412334584676324
44,3,50,100,50,0.5575780557284176,0.008692170836800904
45,3,50,200,2,0.5109973444323551,0.013278053833965846
46,3,50,200,5,0.5304639115129074,0.009960976607989315
47,3,50,200,10,0.5291998486138524,0.006549156510997439
48,3,50,200,20,0.5338768808583426,0.011541933588098999
49,3,50,200,50,0.5548603226014085,0.015304151133238459
50,3,100,10,2,0.5207938327810855,0.011937044410701356
51,3,100,10,5,0.5267349253780034,0.00833343325349445
52,3,100,10,10,0.5334976620886452,0.012324349695542549
53,3,100,10,20,0.5384907097306237,0.0099903277751032
54,3,100,10,50,0.5432941488589187,0.008042629369750138
55,3,100,20,2,0.5119453920657739,0.011247240566215354
56,3,100,20,5,0.5332448482061364,0.007460754690780352
57,3,100,20,10,0.5393755533645946,0.010728625347720207
58,3,100,20,20,0.5431677426080037,0.010605493935308056
59,3,100,20,50,0.5554923536713906,0.014300078297350012
60,3,100,50,2,0.5133358615378396,0.011503824174261238
61,3,100,50,5,0.522626722786463,0.01109276407222314
62,3,100,50,10,0.5318543805573958,0.010467859135439773
63,3,100,50,20,0.5400707888973902,0.010126752241197842
64,3,100,50,50,0.5544811030161123,0.00914426465858344
65,3,100,100,2,0.510428517785631,0.01469477891371384
66,3,100,100,5,0.5186449246356979,0.007745803360386179
67,3,100,100,10,0.5294526609744122,0.008273930033698564
68,3,100,100,20,0.5385539143949826,0.013638586565549117
69,3,100,100,50,0.5561875871378769,0.015759258751153367
70,3,100,200,2,0.5152319553882099,0.014333489017916687
71,3,100,200,5,0.5273669586442632,0.016396685512802482
72,3,100,200,10,0.5290102390208659,0.009495486065879492
73,3,100,200,20,0.5274301612969371,0.015204141524670502
74,3,100,200,50,0.5505625090380863,0.013954132350502964
75,5,10,10,2,0.5163696114882222,0.010883475980327179
76,5,10,10,5,0.535836178269282,0.013873179539499451
77,5,10,10,10,0.5330552410166237,0.015351817689152
78,5,10,10,20,0.5399443826050361,0.016795017444810604
79,5,10,10,50,0.5472759461601802,0.013285661996359123
80,5,10,20,2,0.5123246105510476,0.008475812301826247
81,5,10,20,5,0.5319175825432751,0.012308051865630169
82,5,10,20,10,0.5320439896418102,0.014640462464634739
83,5,10,20,20,0.5509417259750408,0.009333697540028494
84,5,10,20,50,0.549488056720908,0.012848194924859217
85,5,10,50,2,0.5128302357468347,0.009372350371161365
86,5,10,50,5,0.524712426949355,0.01574723269694614
87,5,10,50,10,0.5298318807122802,0.014209384321061495
88,5,10,50,20,0.5372266468504048,0.007702892634312117
