,drop,lstm_nodes,num_filters,pool_size,recurrent_drop,means,stddev
0,0.5,100,100,3,0.2,0.721114290715266,0.015671070849964226
1,0.5,100,100,3,0.5,0.7260776248393556,0.017586495464055992
2,0.5,100,100,3,0.8,0.7182078339843114,0.014698062195952
3,0.5,100,100,4,0.2,0.7177159723138963,0.014652616403520858
4,0.5,100,100,4,0.5,0.7188338401534651,0.014863064533531365
5,0.5,100,100,4,0.8,0.7233500267222238,0.01695241732507392
6,0.5,100,200,3,0.2,0.7125737793094633,0.018666862136618997
7,0.5,100,200,3,0.5,0.7209354320054957,0.022623692697985195
8,0.5,100,200,3,0.8,0.7153908067095196,0.019448046256277694
9,0.5,100,200,4,0.2,0.7098461814375304,0.01696481392577469
10,0.5,100,200,4,0.5,0.7153908066908632,0.017633898783403316
11,0.5,100,200,4,0.8,0.7120819171966242,0.02056281356663312
12,0.5,200,100,3,0.2,0.70242353778601,0.004136033833008987
13,0.5,200,100,3,0.5,0.721606152748149,0.016094984433523803
14,0.5,200,100,3,0.8,0.7175818280656869,0.017827791954755413
15,0.5,200,100,4,0.2,0.7001878017950434,0.020074292151133377
16,0.5,200,100,4,0.5,0.7193257021383743,0.01665125896756336
17,0.5,200,100,4,0.8,0.7238418886858115,0.009077772070633407
18,0.5,200,200,3,0.2,0.6974602039577581,0.010969500566087618
19,0.5,200,200,3,0.5,0.716553389421091,0.016607517384553013
20,0.5,200,200,3,0.8,0.7138257914665368,0.023923256745280952
21,0.5,200,200,4,0.2,0.6927651583993825,0.017332480937290225
22,0.5,200,200,4,0.5,0.7130656412490641,0.021053077780033538
23,0.5,200,200,4,0.8,0.7124843499172653,0.022595620211092092
24,0.8,100,100,3,0.2,0.7213378645102553,0.014380670891881437
25,0.8,100,100,3,0.5,0.7107404757966042,0.017453575096707846
26,0.8,100,100,3,0.8,0.6856555176738591,0.03263293960622953
27,0.8,100,100,4,0.2,0.7155249510110331,0.016857219352326706
28,0.8,100,100,4,0.5,0.7139599357307373,0.02091573085144899
29,0.8,100,100,4,0.8,0.6982650688580038,0.013841592177228534
30,0.8,100,200,3,0.2,0.719728134565843,0.019365628594006302
31,0.8,100,200,3,0.5,0.7162403862365689,0.022444884773393004
32,0.8,100,200,3,0.8,0.7040332678077131,0.02602155632872345
33,0.8,100,200,4,0.2,0.7215167232413472,0.0126539886878187
34,0.8,100,200,4,0.5,0.7221874441705648,0.02365411091415354
35,0.8,100,200,4,0.8,0.7044804150831975,0.021527448446759818
36,0.8,200,100,3,0.2,0.7153460920374075,0.0165067206427789
37,0.8,200,100,3,0.5,0.718297263579065,0.016038522934942078
38,0.8,200,100,3,0.8,0.6503756037206817,0.009231412439628365
39,0.8,200,100,4,0.2,0.7123502057490121,0.015423753327647316
40,0.8,200,100,4,0.5,0.7132892148681498,0.02052720572195098
41,0.8,200,100,4,0.8,0.6903505634641076,0.031703434832647585
42,0.8,200,200,3,0.2,0.7080575925594705,0.020560130031307636
43,0.8,200,200,3,0.5,0.7267036307020107,0.020408612720350553
44,0.8,200,200,3,0.8,0.6904847076430216,0.019967060251197127
45,0.8,200,200,4,0.2,0.7128867824273553,0.014322761476305923
46,0.8,200,200,4,0.5,0.7203988553511395,0.01919580784934348
47,0.8,200,200,4,0.8,0.709577893178315,0.026327907990237855
