,filter_sizes,num_filters,means,stddev
0,"(3, 3, 3)",10,0.612886926085604,0.017034684968458502
1,"(3, 3, 3)",20,0.6272899605922133,0.010988883590642541
2,"(3, 3, 3)",50,0.6320277995462291,0.011631906583454792
3,"(3, 3, 3)",100,0.6294377802428157,0.010151514614732468
4,"(3, 3, 3)",200,0.6291219242561941,0.009881598288653582
5,"(3, 4, 5)",10,0.6229311463204804,0.009982048663881863
6,"(3, 4, 5)",20,0.6276689866714212,0.009505952427910455
7,"(3, 4, 5)",50,0.6270372755303084,0.00928079203026386
8,"(3, 4, 5)",100,0.6253948244202084,0.009150017516988415
9,"(3, 4, 5)",200,0.6307643753342891,0.012289193090953388
10,"(5, 5, 5)",10,0.6142766930393531,0.012729270848473176
11,"(5, 5, 5)",20,0.6223626073409844,0.009381719981503318
12,"(5, 5, 5)",50,0.6277953295676074,0.0048588472438720704
13,"(5, 5, 5)",100,0.6337334228217112,0.01411363741183956
14,"(5, 5, 5)",200,0.6328490247567545,0.010271100444663131
15,"(3, 5, 7)",10,0.6219204073380008,0.010214413335206578
16,"(3, 5, 7)",20,0.6284902110968823,0.010990518077788369
17,"(3, 5, 7)",50,0.6280480150211031,0.007095448775528716
18,"(3, 5, 7)",100,0.625837022950961,0.014587075298696265
19,"(3, 5, 7)",200,0.6314592580251579,0.010377011299220489
20,"(7, 7, 7)",10,0.6194567306088408,0.010457456970468237
21,"(7, 7, 7)",20,0.6280480136994839,0.011544264549111977
22,"(7, 7, 7)",50,0.6264055642235227,0.009181364817248367
23,"(7, 7, 7)",100,0.6327858543704751,0.014647136772335452
24,"(7, 7, 7)",200,0.6291850957325269,0.007925403849468313
25,"(5, 7, 10)",10,0.6187618483792207,0.015745348390050744
26,"(5, 7, 10)",20,0.6204674714400809,0.01150271032606866
27,"(5, 7, 10)",50,0.6273531307921105,0.009212821484711848
28,"(5, 7, 10)",100,0.6315856027399823,0.010216561851878749
29,"(5, 7, 10)",200,0.6385344329960198,0.009222993702448359
30,"(10, 10, 10)",10,0.6132659550791516,0.009703721845245197
31,"(10, 10, 10)",20,0.6211623524403316,0.012763237193610942
32,"(10, 10, 10)",50,0.6264687353873358,0.008095037756800334
33,"(10, 10, 10)",100,0.6352495303428105,0.009036791996883823
34,"(10, 10, 10)",200,0.634807331902425,0.011487607928883967
35,"(3, 4, 5, 6)",10,0.62229943711473,0.0087324879598849
36,"(3, 4, 5, 6)",20,0.622678464007242,0.009843563683983737
37,"(3, 4, 5, 6)",50,0.6277321591643842,0.009387037430569536
38,"(3, 4, 5, 6)",100,0.6326595119505989,0.007379140934857301
39,"(3, 4, 5, 6)",200,0.6354390450636195,0.010293029303565947
